,Age,Yearly brutto salary (without bonus and stocks) in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week"
609,23.0,80000.0,,12.967828418230564
610,25.0,75000.0,,0.0
611,34.0,85000.0,73000.0,12.967828418230564
612,45.0,55000.0,55000.0,26.0
613,37.0,78000.0,78000.0,0.0
614,31.0,99000.0,89000.0,12.967828418230564
615,32.0,90000.0,90000.0,0.0
616,45.0,52000.0,52000.0,2.0
617,42.0,36000.0,,12.967828418230564
618,23.0,45000.0,,12.967828418230564
619,36.0,75000.0,73500.0,12.967828418230564
620,40.0,85000.0,80000.0,0.0
621,28.0,95000.0,,12.967828418230564
622,35.0,63000.0,63000.0,0.0
623,37.0,102000.0,78000.0,12.967828418230564
624,33.0,95000.0,75000.0,32.0
625,33.0,78600.0,78600.0,32.0
626,31.0,70000.0,,12.967828418230564
627,31.0,67000.0,50000.0,0.0
628,28.0,42000.0,42000.0,12.967828418230564
629,31.0,53000.0,53000.0,0.0
630,40.0,250000.0,230000.0,12.967828418230564
631,25.0,53000.0,48000.0,12.967828418230564
632,35.0,77000.0,70000.0,12.967828418230564
633,35.0,80000.0,67000.0,24.0
634,41.0,58800.0,56400.0,12.967828418230564
635,33.0,75000.0,72500.0,0.0
636,33.0,85000.0,75000.0,20.0
637,38.0,70000.0,70000.0,12.967828418230564
638,35.0,78000.0,78000.0,12.967828418230564
639,36.0,75000.0,75000.0,12.967828418230564
640,49.0,57000.0,57000.0,12.967828418230564
641,32.0,120000.0,90000.0,0.0
642,32.0,75000.0,75000.0,30.0
643,27.0,63000.0,42000.0,12.967828418230564
644,31.0,60000.0,,12.967828418230564
645,31.0,60000.0,60000.0,0.0
646,28.0,44000.0,44000.0,12.967828418230564
647,28.0,54500.0,52000.0,0.0
648,27.0,90000.0,97000.0,12.967828418230564
649,29.0,82500.0,65000.0,12.967828418230564
650,32.0,75000.0,70000.0,12.967828418230564
651,28.0,60000.0,58000.0,12.967828418230564
652,34.0,108000.0,90000.0,30.0
653,38.0,85000.0,85000.0,12.967828418230564
654,29.0,54000.0,45000.0,0.0
655,30.0,65000.0,60000.0,0.0
656,33.0,42000.0,,12.967828418230564
657,30.0,51000.0,,12.967828418230564
658,31.0,76000.0,760000.0,12.967828418230564
659,37.0,65000.0,55000.0,0.0
660,32.0,85000.0,80000.0,12.967828418230564
661,32.0,60000.0,,12.967828418230564
662,40.0,90000.0,75000.0,12.967828418230564
663,30.0,86000.0,82600.0,12.967828418230564
664,30.0,60000.0,60000.0,20.0
665,32.0,81000.0,81000.0,0.0
666,32.0,60000.0,70000.0,12.967828418230564
667,34.0,74000.0,69000.0,32.0
668,43.0,57600.0,57600.0,12.967828418230564
669,33.0,70000.0,64000.0,12.967828418230564
670,28.0,75000.0,64000.0,12.967828418230564
671,33.0,65000.0,,0.0
672,33.0,90000.0,75000.0,12.967828418230564
674,35.0,90000.0,85000.0,12.967828418230564
675,35.0,30000.0,,12.967828418230564
676,33.0,90000.0,,12.967828418230564
677,28.0,64000.0,,12.967828418230564
678,21.0,50000.0,,12.967828418230564
679,25.0,44000.0,43000.0,12.967828418230564
680,25.0,12000.0,12000.0,12.967828418230564
681,32.0,80000.0,68500.0,12.967828418230564
682,32.0,73000.0,65000.0,12.967828418230564
683,26.0,120000.0,95000.0,0.0
684,25.0,71750.0,66000.0,12.967828418230564
685,27.0,65000.0,52000.0,12.967828418230564
686,28.0,80000.0,76000.0,12.967828418230564
687,32.0,60000.0,,12.967828418230564
688,28.0,66000.0,66000.0,12.967828418230564
689,34.0,85000.0,,12.967828418230564
690,35.0,65000.0,65000.0,0.0
691,38.0,130000.0,130000.0,12.967828418230564
692,33.0,81900.0,,12.967828418230564
693,36.0,85000.0,80000.0,12.967828418230564
694,31.0,45000.0,39000.0,12.967828418230564
695,43.0,82000.0,82000.0,12.967828418230564
696,38.0,100000.0,80000.0,25.0
697,35.0,72000.0,72500.0,8.0
698,33.0,70000.0,,12.967828418230564
699,33.0,70000.0,,12.967828418230564
700,32.0,62000.0,,30.0
701,43.0,83000.0,75000.0,12.967828418230564
702,37.0,70000.0,,12.967828418230564
703,37.0,77000.0,71000.0,12.967828418230564
704,30.0,71000.0,69000.0,12.967828418230564
705,29.0,65000.0,58000.0,12.967828418230564
706,41.0,120000.0,92000.0,12.967828418230564
707,38.0,43000.0,43000.0,30.0
708,32.0,81000.0,,0.0
709,29.0,55000.0,,12.967828418230564
710,35.0,63000.0,56000.0,30.0
711,41.0,75000.0,73000.0,12.967828418230564
712,29.0,22000.0,11000.0,12.967828418230564
713,26.0,65000.0,46000.0,12.967828418230564
714,32.0,62000.0,,12.967828418230564
715,30.0,65000.0,,12.967828418230564
716,26.0,37000.0,,12.967828418230564
717,35.0,51000.0,47000.0,12.967828418230564
718,47.0,70000.0,,12.967828418230564
719,33.0,93000.0,,12.967828418230564
720,44.0,60000.0,,12.967828418230564
721,40.0,72000.0,72000.0,12.967828418230564
722,32.0,70000.0,65000.0,12.967828418230564
723,33.0,70000.0,60000.0,12.967828418230564
724,32.0,65000.0,,30.0
725,26.0,51000.0,46000.0,12.967828418230564
726,32.0,90000.0,80000.0,12.967828418230564
727,22.0,159000.0,98000.0,30.0
728,43.0,105000.0,105000.0,12.967828418230564
729,33.0,80000.0,,0.0
